"label","code","country__alpha2","category__name"
"Alaska","US_AK","US","state"
"Alabama","US_AL","US","state"
"Arkansas","US_AR","US","state"
"Arizona","US_AZ","US","state"
"California","US_CA","US","state"
"Colorado","US_CO","US","state"
"Connecticut","US_CT","US","state"
"District of Columbia","US_DC","US","state"
"Delaware","US_DE","US","state"
"Florida","US_FL","US","state"
"Georgia","US_GA","US","state"
"Hawaii","US_HI","US","state"
"Iowa","US_IA","US","state"
"Idaho","US_ID","US","state"
"Illinois","US_IL","US","state"
"Indiana","US_IN","US","state"
"Kansas","US_KS","US","state"
"Kentucky","US_KY","US","state"
"Louisiana","US_LA","US","state"
"Massachusetts","US_MA","US","state"
"Maryland","US_MD","US","state"
"Maine","US_ME","US","state"
"Michigan","US_MI","US","state"
"Minnesota","US_MN","US","state"
"Missouri","US_MO","US","state"
"Mississippi","US_MS","US","state"
"Montana","US_MT","US","state"
"North Carolina","US_NC","US","state"
"North Dakota","US_ND","US","state"
"Nebraska","US_NE","US","state"
"New Hampshire","US_NH","US","state"
"New Jersey","US_NJ","US","state"
"New Mexico","US_NM","US","state"
"Nevada","US_NV","US","state"
"New York","US_NY","US","state"
"Ohio","US_OH","US","state"
"Oklahoma","US_OK","US","state"
"Oregon","US_OR","US","state"
"Pennsylvania","US_PA","US","state"
"Rhode Island","US_RI","US","state"
"South Carolina","US_SC","US","state"
"South Dakota","US_SD","US","state"
"Tennessee","US_TN","US","state"
"Texas","US_TX","US","state"
"Utah","US_UT","US","state"
"Virginia","US_VA","US","state"
"Vermont","US_VT","US","state"
"Washington","US_WA","US","state"
"Wisconsin","US_WI","US","state"
"West Virginia","US_WV","US","state"
"Wyoming","US_WY","US","state"
"Alberta","CA_AB","CA","province"
"British Columbia","CA_BC","CA","province"
"Manitoba","CA_MB","CA","province"
"New Brunswick","CA_NB","CA","province"
"Newfoundland and Labrador","CA_NL","CA","province"
"Nova Scotia","CA_NS","CA","province"
"Ontario","CA_ON","CA","province"
"Prince Edward Island","CA_PE","CA","province"
"Quebec","CA_QC","CA","province"
"Saskatchewan","CA_SK","CA","province"
"Northwest Territories","CA_NT","CA","territory"
"Nunavut","CA_NU","CA","territory"
"Yukon","CA_YT","CA","territory"
"Azuay","EC_01","EC","province"
"Bolívar","EC_02","EC","province"
"Cañar","EC_03","EC","province"
"Carchi","EC_04","EC","province"
"Chimborazo","EC_05","EC","province"
"Cotopaxi","EC_06","EC","province"
"El Oro","EC_07","EC","province"
"Esmeraldas","EC_08","EC","province"
"Galápagos","EC_09","EC","province"
"Guayas","EC_10","EC","province"
"Imbabura","EC_11","EC","province"
"Loja","EC_12","EC","province"
"Los Ríos","EC_13","EC","province"
"Manabí","EC_14","EC","province"
"Morona-Santiago","EC_15","EC","province"
"Napo","EC_16","EC","province"
"Orellana","EC_17","EC","province"
"Pastaza","EC_18","EC","province"
"Pichincha","EC_19","EC","province"
"Santa Elena","EC_20","EC","province"
"Santo Domingo de los Tsáchilas","EC_21","EC","province"
"Sucumbíos","EC_22","EC","province"
"Tungurahua","EC_23","EC","province"
"Zamora-Chinchipe","EC_24","EC","province"
"Azua","DO_01","DO","province"
"Bahoruco","DO_02","DO","province"
"Barahona","DO_03","DO","province"
"Dajabón","DO_04","DO","province"
"Distrito Nacional","DO_DN","DO","province"
"Duarte","DO_05","DO","province"
"Elías Piña","DO_06","DO","province"
"El Seibo","DO_07","DO","province"
"Espaillat","DO_08","DO","province"
"Hato Mayor","DO_09","DO","province"
"Hermanas Mirabal","DO_10","DO","province"
"Independencia","DO_11","DO","province"
"La Altagracia","DO_12","DO","province"
"La Romana","DO_13","DO","province"
"La Vega","DO_14","DO","province"
"María Trinidad Sánchez","DO_15","DO","province"
"Monseñor Nouel","DO_16","DO","province"
"Monte Cristi","DO_17","DO","province"
"Monte Plata","DO_18","DO","province"
"Pedernales","DO_19","DO","province"
"Peravia","DO_20","DO","province"
"Puerto Plata","DO_21","DO","province"
"Samaná","DO_22","DO","province"
"Sánchez Ramírez","DO_23","DO","province"
"San Cristóbal","DO_24","DO","province"
"San José de Ocoa","DO_25","DO","province"
"San Juan","DO_26","DO","province"
"San Pedro de Macorís","DO_27","DO","province"
"Santiago","DO_28","DO","province"
"Santiago Rodríguez","DO_29","DO","province"
"Santo Domingo","DO_30","DO","province"
"Valverde","DO_31","DO","province"
"Água Grande","ST_01","ST","district"
"Cantagalo","ST_02","ST","district"
"Caué","ST_03","ST","district"
"Lembá","ST_04","ST","district"
"Lobata","ST_05","ST","district"
"Mé-Zóchi","ST_06","ST","district"
